Country,IDI
IS,8.98
Korea (Rep.),8.85
CH,8.74
DK,8.71
GB,8.65
"Hong Kong, China",8.61
NL,8.49
NO,8.47
LU,8.47
JP,8.43
SE,8.41
DE,8.39
NZ,8.33
AU,8.24
FR,8.24
US,8.18
EE,8.14
SG,8.05
MC,8.05
IE,8.02
AT,8.02
FI,7.88
IL,7.88
MT,7.86
BE,7.81
"Macao, China",7.8
ES,7.79
CY,7.77
CA,7.77
AD,7.71
BH,7.6
BY,7.55
SI,7.38
BB,7.31
LV,7.26
HR,7.24
St. Kitts and Nevis,7.24
GR,7.23
QA,7.21
AE,7.21
LT,7.19
UY,7.16
CZ,7.16
PT,7.13
RU,7.07
SK,7.06
IT,7.04
HU,6.93
PL,6.89
BG,6.86
AR,6.79
KZ,6.79
BN,6.75
SA,6.67
RS,6.61
CL,6.57
BS,6.51
RO,6.48
MD,6.45
CR,6.44
ME,6.44
OM,6.43
MY,6.38
LB,6.3
AZ,6.2
BR,6.12
TR,6.08
Trinidad & Tobago,6.04
TFYR Macedonia,6.01
JO,6.0
KW,5.98
MU,5.88
GD,5.8
GE,5.79
AM,5.76
Antigua & Barbuda,5.71
DM,5.69
TH,5.67
UA,5.62
CN,5.6
Iran (I.R.),5.58
St. Vincent and the Grenadines,5.54
BA,5.39
CO,5.36
MV,5.25
VE,5.17
MX,5.16
SR,5.15
AL,5.14
SC,5.03
MN,4.96
ZA,4.96
Cape Verde,4.92
PA,4.91
UZ,4.9
PE,4.85
EC,4.84
JM,4.84
TN,4.82
MA,4.77
PH,4.67
DZ,4.67
EG,4.63
St. Lucia,4.63
BW,4.59
Dominican Rep.,4.51
FJ,4.49
VN,4.43
KG,4.37
TO,4.34
ID,4.33
BO,4.31
PY,4.18
GA,4.11
LY,4.11
GH,4.05
LK,3.91
NA,3.89
SV,3.82
BZ,3.71
BT,3.69
TL,3.57
PS,3.55
GY,3.44
GT,3.35
SY,3.34
WS,3.3
KH,3.28
HN,3.28
NI,3.27
LS,3.04
IN,3.03
MM,3.0
ZW,2.92
CU,2.91
KE,2.91
Lao P.D.R.,2.91
NP,2.88
VU,2.81
SN,2.66
NG,2.6
GM,2.59
SD,2.55
ZM,2.54
BD,2.53
PK,2.42
CM,2.38
MZ,2.32
MR,2.26
UG,2.19
RW,2.18
KI,2.17
ML,2.16
TG,2.15
SB,2.11
DJ,1.98
AF,1.95
AO,1.94
BJ,1.94
BF,1.9
GQ,1.86
KM,1.82
TZ,1.81
GN,1.78
MW,1.74
HT,1.72
MG,1.68
ET,1.65
Congo (Dem. Rep.),1.55
BI,1.48
GW,1.48
TD,1.27
Central African Rep.,1.04
ER,0.96
